,age,sex,answer
2249,18 - 29,Female,No
2250,60,Female,No
2251,60,Male,No
2252,45 - 59,Male,No
2253,60,Female,No
2254,18 - 29,Female,Yes
2255,45 - 59,Male,No
2256,60,Female,Yes
2257,18 - 29,Female,Yes
2258,60,Female,No
2259,45 - 59,Male,No
2260,60,Male,Yes
2261,30 - 44,Male,Yes
2262,18 - 29,Female,No
2263,45 - 59,Male,No
2264,30 - 44,Male,No
2265,30 - 44,Male,No
2266,18 - 29,Female,No
2267,60,Male,No
2268,60,Male,Yes
2269,18 - 29,Female,Yes
2270,60,Male,No
2271,45 - 59,Male,No
2272,30 - 44,Male,Yes
2273,60,Female,No
2274,45 - 59,Male,No
2275,18 - 29,Female,Yes
2276,60,Male,No
2277,18 - 29,Female,No
2278,60,Female,No
2279,18 - 29,Male,Yes
2280,60,Male,No
2281,18 - 29,Female,Yes
2282,60,Male,No
2283,60,Female,No
2284,60,Male,No
2285,45 - 59,Male,No
2286,45 - 59,Female,No
2287,45 - 59,Female,No
2288,18 - 29,Female,Yes
2289,30 - 44,Male,Yes
2290,18 - 29,Female,Yes
2291,45 - 59,Female,No
2292,18 - 29,Male,No
2293,45 - 59,Female,No
2294,45 - 59,Female,Yes
2295,18 - 29,Male,Yes
2296,45 - 59,Male,No
2297,60,Male,Yes
2298,45 - 59,Female,No
2299,45 - 59,Female,Yes
2300,60,Female,No
2301,30 - 44,Male,No
2302,45 - 59,Female,No
2303,45 - 59,Male,Yes
2304,45 - 59,Male,Yes
2305,18 - 29,Female,Yes
2306,18 - 29,Female,No
2307,45 - 59,Female,Yes
2308,60,Female,No
2309,45 - 59,Female,Yes
2310,45 - 59,Female,No
2311,18 - 29,Female,Yes
2312,60,Male,No
2313,45 - 59,Female,No
2314,45 - 59,Female,No
2315,45 - 59,Female,Yes
2316,45 - 59,Female,Yes
2317,45 - 59,Male,No
2318,30 - 44,Female,Yes
2319,45 - 59,Male,No
2320,60,Female,No
2321,30 - 44,Male,No
2322,18 - 29,Female,No
2323,45 - 59,Male,No
2324,30 - 44,Female,Yes
2325,30 - 44,Female,No
2326,45 - 59,Female,No
2327,30 - 44,Female,Yes
2328,30 - 44,Female,No
2329,18 - 29,Female,No
2330,30 - 44,Male,Yes
2331,60,Female,No
2332,30 - 44,Female,Yes
2333,60,Male,Yes
2334,45 - 59,Female,Yes
2335,18 - 29,Female,Yes
2336,30 - 44,Male,Yes
2337,45 - 59,Female,Yes
2338,60,Male,No
2339,30 - 44,Female,No
2340,30 - 44,Female,Yes
2341,30 - 44,Male,No
2342,30 - 44,Female,No
2343,60,Male,Yes
2344,18 - 29,Female,No
2345,18 - 29,Female,No
2346,30 - 44,Male,No
2347,30 - 44,Female,Yes
2348,45 - 59,Female,No
2349,30 - 44,Male,No
2350,30 - 44,Female,Yes
2351,30 - 44,Male,Yes
2352,30 - 44,Female,Yes
2353,18 - 29,Female,No
2354,60,Female,No
2355,45 - 59,Male,No
2356,60,Female,No
2357,60,Female,Yes
2358,60,Female,No
2359,18 - 29,Female,Yes
2360,60,Male,Yes
2361,18 - 29,Female,Yes
2362,18 - 29,Female,Yes
2363,30 - 44,Male,No
2364,30 - 44,Female,No
2365,30 - 44,Female,Yes
2366,45 - 59,Female,No
2367,60,Male,Yes
2368,30 - 44,Female,No
2369,45 - 59,Female,Yes
2370,45 - 59,Female,No
2371,18 - 29,Female,No
2372,45 - 59,Male,Yes
2373,60,Female,No
2374,45 - 59,Male,No
2375,45 - 59,Female,No
2376,45 - 59,Female,No
2377,45 - 59,Female,Yes
2378,45 - 59,Male,Yes
2379,18 - 29,Female,No
2380,60,Female,Yes
2381,60,Male,No
2382,18 - 29,Male,No
2383,18 - 29,Male,No
2384,,,Yes
2385,30 - 44,Female,No
2386,45 - 59,Male,Yes
2387,45 - 59,Female,No
2388,60,Male,Yes
2389,60,Female,No
2390,18 - 29,Male,Yes
2391,30 - 44,Female,No
2392,60,Male,No
2393,45 - 59,Male,Yes
2394,18 - 29,Female,No
2395,30 - 44,Female,Yes
2396,45 - 59,Female,No
2397,60,Male,No
2398,60,Female,Yes
2399,60,Female,Yes
2400,60,Female,Yes
2401,30 - 44,Female,Yes
2402,60,Male,No
2403,30 - 44,Female,Yes
2404,45 - 59,Male,Yes
2405,60,Female,No
2406,60,Male,No
2407,45 - 59,Female,No
2408,60,Male,No
2409,30 - 44,Male,No
2410,18 - 29,Female,Yes
2411,30 - 44,Female,No
2412,45 - 59,Female,Yes
2413,45 - 59,Female,Yes
2414,18 - 29,Female,Yes
2415,30 - 44,Female,Yes
2416,60,Female,No
2417,60,Male,No
2418,30 - 44,Male,Yes
2419,18 - 29,Female,No
2420,30 - 44,Female,No
2421,,,Yes
2422,45 - 59,Male,No
2423,60,Female,No
2424,45 - 59,Female,No
2425,30 - 44,Female,Yes
2426,18 - 29,Male,Yes
2427,18 - 29,Female,Yes
2428,60,Male,No
2429,18 - 29,Male,No
2430,60,Male,Yes
2431,18 - 29,Female,No
2432,18 - 29,Female,No
2433,30 - 44,Female,No
2434,60,Female,Yes
2435,45 - 59,Female,Yes
2436,30 - 44,Female,No
2437,60,Female,Yes
